,�..control,country,c_code,region,inc_grp,year,TFP,TFP_wb,TFPgrowth,ghg_serv,ghg_ind,ghg_agr,ghg_agrc,va_ser,va_ind,va_agr,ghg_va_agr,ghg_va_ind,ghg_va_ser,life_expectancy,patents_tot,internet_access,urbanization,popage15_64,ruleoflaw,sch,exports_gdp,imports_gdp,trade.exp.imp.,ed_tc25,fdi_imf,rl_wb2,ROL,innovation_index,education_index,efficiency_index,infrastructure_index,governance_index,pat_wb2,str_agr,str_ind,str_ser,eps,ghg_tot
12,FSM2012,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2012,NA,1,0,NA,NA,NA,NA,178.1911684,23.73820374,80.03855099,NA,NA,NA,66.817,NA,25.974423,22.324,62.29594473,-0.0155286,NA,29.88778314,81.47112849,111.3589116,6.183,0.1264,-0.0135,-0.0155286,-0.4988105,0.2566707,-0.0805833,-0.2893936,0.1721315,0.014,NA,NA,NA,NA,NA
13,GIB2012,Gibraltar,GIB,Europe & Central Asia,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.017,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,GRL2012,Greenland,GRL,Europe & Central Asia,High income,2012,NA,1,0,NA,NA,NA,NA,1632.563432,503.227183,315.0904145,NA,NA,NA,71.29902439,NA,64.8960101,85.2,NA,1.719516,NA,37.51199021,63.46641088,100.9784011,14.7,0.4648,1.7269,1.719516,0.3747033,1.51656,1.183059,1.132564,1.591954,0.0173,NA,NA,NA,NA,NA
15,GUM2012,Guam,GUM,East Asia & Pacific,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.408,NA,61.53415931,94.277,65.49351234,1.102443,NA,19.31140604,58.41507982,77.72648586,23.688,0.75865,1.1477,1.102443,2.203033,1.672604,1.948382,0.8432496,0.851252,0.3345,NA,NA,NA,NA,NA
16,HKG2012,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2012,0.98967582,0.987,-0.014,NA,NA,NA,NA,222000,18097.20984,119.0356164,NA,NA,NA,83.4804878,12988,72.9,100,74.99848159,1.580427,107.12947,215.8495655,214.7189649,430.5685304,13.246,0.8202,1.5669,1.580427,1.459985,1.663478,2.260235,1.58659,1.647426,0.3481,NA,NA,NA,NA,NA
17,IMN2012,Isle of Man,IMN,Europe & Central Asia,High income,2012,NA,NA,NA,NA,NA,NA,NA,5113.20981,604.3186032,40.34424268,NA,NA,NA,NA,NA,NA,52.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,LBY2012,Libya,LBY,Middle East & North Africa,Upper middle income,2012,NA,1,0,3.1738,125.9182,2.831,2.831,NA,NA,NA,NA,NA,NA,71.901,NA,NA,78.512,67.01495192,-1.137567,NA,74.62245886,39.7463698,114.3688287,11.388,0.1311,-1.1412,-1.137567,-0.8242242,0.7578275,-0.7321966,0.8484727,-1.296243,-0.1288,NA,NA,NA,NA,131.923
19,LIE2012,Liechtenstein,LIE,Europe & Central Asia,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.38292683,NA,89.4077,14.367,NA,1.601889,110.37386,NA,NA,NA,14.7,0.4648,1.6141,1.601889,0.7085116,1.747916,1.121636,1.30776,1.8061,0.0173,NA,NA,NA,NA,NA
20,MAC2012,"Macao SAR, China",MAC,East Asia & Pacific,High income,2012,1.035617232,1.03,0.03,NA,NA,NA,NA,36104.24774,1555.61722,NA,NA,NA,NA,83.158,58,61.31,100,80.11343187,0.6526927,92.06546,91.10575944,33.06167798,124.1674374,12.518,0.2178,0.6475,0.6526927,0.1836673,1.124405,1.02469,1.465446,0.804098,0.0167,NA,NA,NA,NA,NA
21,MAF2012,St. Martin (French part),MAF,Latin America & Caribbean,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.02195122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,MCO2012,Monaco,MCO,Europe & Central Asia,High income,2012,NA,1,0,NA,NA,NA,NA,5061.721854,749.2715232,NA,NA,NA,NA,NA,8,87,100,NA,0.9326771,NA,NA,NA,NA,14.7,0.4648,0.9477,0.9326771,0.1567967,1.22848,1.048986,1.987532,0.6019242,0.0173,NA,NA,NA,NA,NA
23,MHL2012,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2012,NA,1,0,NA,NA,NA,NA,117.9152581,15.21640353,20.35474635,NA,NA,NA,NA,NA,12.5,74.498,NA,0.0284798,NA,54.95688854,99.79023901,154.7471276,6.183,0.0539,0.0176,0.0284798,-0.5109267,0.8046533,-0.2899162,-0.1098349,0.0001974,0.014,NA,NA,NA,NA,NA
24,MLT2012,Malta,MLT,Middle East & North Africa,High income,2012,1.008067012,1.008,0.008,4.5139,2.5406,0.0937,0.0937,NA,NA,NA,NA,NA,NA,80.74634146,17,68.19987429,94.211,68.57226849,1.344982,94.04103,165.2478341,160.6041731,325.8520072,12.716,0.5609,1.3454,1.344982,0.3629833,0.7768322,1.153643,1.438379,1.362335,0.0092,NA,NA,NA,NA,7.1482
25,MNP2012,Northern Mariana Islands,MNP,East Asia & Pacific,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.108,NA,NA,NA,50.59920107,63.64846871,114.2476698,23.688,0.75865,0,0,2.203033,1.672604,2.016541,0.7261255,0,0.3345,NA,NA,NA,NA,NA
26,NCL2012,New Caledonia,NCL,East Asia & Pacific,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.06907036,NA,58,68.024,67.15748524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NRU2012,Nauru,NRU,East Asia & Pacific,Upper middle income,2012,NA,NA,NA,0.0038,0,0.0012,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0.7323934,76.64234,70.64239863,50.6014046,121.2438032,NA,NA,NA,0.7323934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005
28,PRI2012,Puerto Rico,PRI,Latin America & Caribbean,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.84758537,NA,68.9999826,93.726,65.92734433,0.79869,83.77826,57.45248354,45.85860456,103.3110881,6.412,0.34925,0.8196,0.79869,-0.1684412,0.5086851,0.8372564,0.6937489,0.8295076,0.0287,NA,NA,NA,NA,NA
29,PRK2012,"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,2012,NA,NA,NA,1.8886,63.1672,18.9644,18.9644,NA,NA,NA,NA,NA,NA,70.454,8381,0,60.738,68.85067707,-1.351986,NA,NA,NA,NA,NA,NA,NA,-1.351986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.0202
30,PSE2012,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2012,NA,1,0,NA,NA,NA,NA,6842.046494,2170.819714,506.9692712,NA,NA,NA,73.041,NA,43.4,74.619,55.86856574,-0.4421628,83.94433,16.58864833,55.85314822,72.44179655,6.846,0.33845,-0.4479,-0.4421628,-0.3045805,0.0758804,-0.6182903,-0.1003877,-0.6331296,0.0123,NA,NA,NA,NA,NA
31,PYF2012,French Polynesia,PYF,East Asia & Pacific,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.074,NA,52.87663059,61.459,68.67820579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,SLB2012,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2012,NA,1,0,0.2902,0,1.7476,1.7476,NA,NA,NA,NA,NA,NA,71.296,NA,6.9974,20.97,55.99581342,-0.5400032,48.31938,59.70601247,61.17234504,120.8783575,3.714,0.0977,-0.5776,-0.5400032,-0.5926068,-0.0821198,-0.2395574,-0.6047131,-0.3503662,0.0072,NA,NA,NA,NA,2.0378
33,SMR2012,San Marino,SMR,Europe & Central Asia,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.41707317,NA,NA,96.171,NA,0.9326771,97.68669,NA,NA,NA,NA,NA,NA,0.9326771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,SOM2012,Somalia,SOM,Sub-Saharan Africa,Low income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.713,NA,1.3767,41.558,49.30666133,-2.423379,NA,NA,NA,NA,NA,NA,NA,-2.423379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,SSD2012,South Sudan,SSD,Sub-Saharan Africa,Low income,2012,NA,1,0,NA,NA,NA,NA,3450.74244,4136.200963,499.4247826,NA,NA,NA,55.791,NA,NA,18.217,53.36341018,-1.430732,NA,42.83205231,28.7877589,71.61981121,1.282,0.0659,-1.3883,-1.430732,-0.5399013,-1.285197,-0.5296158,-1.171658,-1.327222,0.00095,NA,NA,NA,NA,NA
36,SXM2012,Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.05365854,NA,NA,100,NA,NA,102.29925,113.2940443,104.1593472,217.4533915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,SYR2012,Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2012,NA,1,0,7.4922,59.0939,5.8112,5.8112,NA,NA,NA,NA,NA,NA,70.55,NA,24.3001,53.555,60.36728768,-1.126029,77.87033,NA,NA,NA,4.408,0.1112,-1.1021,-1.126029,-0.515994,-0.4247962,-0.283362,0.3088721,-1.505938,0.0053,NA,NA,NA,NA,72.3973
38,TCA2012,Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,TKM2012,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2012,NA,1,0,2.3991,99.2188,7.9624,7.9624,NA,NA,NA,NA,NA,NA,67.167,NA,7.1958,49.175,66.45631086,-1.402658,NA,58.83274462,50.50090802,109.3336526,13.37,0.0919,-1.3688,-1.402658,-0.4420386,1.06908,0.4450646,0.0719492,-1.304461,-0.005,NA,NA,NA,NA,109.5803
40,TLS2012,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2012,NA,1,0,NA,NA,NA,NA,723.6913199,3750.688117,224.6083886,NA,NA,NA,67.72,NA,7,28.428,54.55236303,-1.144922,66.79295,97.88206389,35.95543222,133.8374961,3.714,0.0269,-1.1848,-1.144922,-0.5926068,-0.4807332,-0.2877991,-0.6204546,-0.6805996,0.0072,NA,NA,NA,NA,NA
41,TUV2012,Tuvalu,TUV,East Asia & Pacific,Upper middle income,2012,NA,1,0,NA,NA,NA,NA,NA,1.627511291,7.076790747,NA,NA,NA,NA,NA,35,56.815,NA,0.4614718,NA,NA,NA,NA,6.183,0.3501,0.4693,0.4614718,-0.5370233,0.4139476,0.2749919,0.085833,0.1415976,0.014,NA,NA,NA,NA,NA
42,VGB2012,British Virgin Islands,VGB,Latin America & Caribbean,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,45.502,NA,NA,96.63866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,VIR2012,Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.66829268,NA,40.5479,94.919,64.3887278,0.8404392,NA,80.04884005,76.04395604,156.0927961,6.412,0.34925,0.8866,0.8404392,-0.1715791,0.3994977,0.5780362,1.188755,1.03346,0.0287,NA,NA,NA,NA,NA
44,XKX2012,Kosovo,XKX,Europe & Central Asia,Upper middle income,2012,NA,1,0,NA,NA,NA,NA,2985.222421,1538.932574,727.1315289,NA,NA,NA,70.49756098,NA,NA,NA,NA,-0.5312065,NA,23.25667362,53.89855188,77.1552255,13.357,0.22225,-0.5556,-0.5312065,-0.4664739,0.932922,0.4379247,0,-0.3714723,0.0096,NA,NA,NA,NA,NA
45,BWA2012,Botswana,BWA,Sub-Saharan Africa,Upper middle income,2012,0.964047313,0.973,-0.027,0.3276,5.7025,17.9252,17.9252,8223.781591,4145.880138,291.5028441,0.061492367,0.001375462,3.98E-05,63.511,14,16,64.768,61.60355489,0.6624952,NA,49.25074438,61.40415194,110.6548963,2.752,0.2189,0.6554,0.6624952,-0.4789283,0.2612771,0.4702645,0.3049524,0.856025,0.0013,0,0.920714627,0.996846704,0.63918711,23.9553
46,BOL2012,Bolivia,BOL,Latin America & Caribbean,Lower middle income,2012,1.024243474,1.003,0.003,2.0994,19.4596,115.0023,115.0023,9429.370661,6534.653475,2191.268712,0.052482062,0.002977908,0.000222645,69.01,NA,35.34,67.315,59.96086214,-1.016074,88.13148,47.16619711,37.78256414,84.94876125,13.224,0.2012,-1.0405,-1.016074,-0.4954424,0.4645085,-0.1238273,-0.1879894,-0.4999205,0.00855,0.14652721,0.828345278,0.978169525,0.651014005,136.5613
47,ZMB2012,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2012,NA,1.007875,0.0078442,2.2144,23.7608,93.8995,93.8995,12670.88449,6946.592733,2127.368619,0.044138801,0.003420497,0.000174763,58.502,38,13.4682,40.354,50.96493296,-0.365196,NA,40.08242334,39.0173188,79.09974214,0.88,0.116,-0.3906,-0.365196,-0.6519561,-1.219154,-0.912775,-0.5941603,-0.0991093,6.00E-04,0.282206831,0.802833244,0.983060557,0.689366877,119.8747
48,MNG2012,Mongolia,MNG,East Asia & Pacific,Lower middle income,2012,1.03919816,1.065,0.063,0.2924,14.9904,43.9217,43.9217,4187.152583,2981.069227,1017.847688,0.043151545,0.005028531,6.98E-05,68.217,NA,16.4,68.03,68.62793828,-0.3754598,NA,43.5721512,66.01641315,109.5885644,22.82,0.3324,-0.394,-0.3754598,-0.437172,1.489228,0.853868,-0.263511,-0.1134002,0.0209,0.298261766,0.710141787,0.993782275,0.667395276,59.2045
49,ZWE2012,Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2012,1.122230649,1.118,0.112,0.7216,13.2909,47.9911,47.9911,9685.582281,3135.272278,1265.401892,0.037925579,0.004239153,7.45E-05,55.032,NA,12,32.834,55.01282105,-1.629983,51.55099,25.1632537,48.99928103,74.16253473,0.666,0.1019,-1.6369,-1.629983,-0.5254083,-0.2124916,-1.782099,-0.435986,-1.367626,0.00355,0.383247371,0.755643684,0.993302182,0.710731079,62.0036
50,PRY2012,Paraguay,PRY,Latin America & Caribbean,Upper middle income,2012,0.930355489,0.955,-0.047,5.6195,5.7371,99.5202,99.5202,13260.96188,10227.42476,2655.012568,0.03748389,0.000560953,0.000423763,73.068,NA,29.34,59.907,62.62471165,-0.846209,75.91105,36.87651691,35.68380835,72.56032526,6.506,0.1351,-0.8673,-0.846209,-0.5829508,-0.0099495,-0.1186159,0.5709088,-0.5487992,0.013,0.390430198,0.967665142,0.957625804,0.771907048,110.8768
51,COD2012,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2012,NA,1.035499,0.0348831,10.9532,9.0104,182.0227,182.0227,8217.8451,10514.38603,4951.550803,0.036760746,0.000856959,0.001332855,57.914,NA,1.679961015,41.082,50.64420847,-1.657,43.22606,30.80300902,37.54870238,68.3517114,0.748,0.0741,-1.6477,-1.657,-0.6221759,-1.118771,-0.7537232,-1.080626,-1.567619,0.00095,0.402190096,0.950602551,0.864764236,0.739185628,201.9863
52,CAF2012,Central African Republic,CAF,Sub-Saharan Africa,Low income,2012,1.012109637,1.014,0.014,3.0502,0,30.2903,30.2903,688.1119051,633.9402396,845.3820226,0.03583031,0,0.004432709,48.638,NA,3,39.388,52.29940114,-1.443371,17.39388,11.550133,21.50931559,33.05944859,1.254,0.0605,-1.4382,-1.443371,-0.5454934,-1.209299,-0.4647185,-0.9441182,-1.259599,0.00095,0.417321015,1,0.548121582,0.655147532,33.3405
53,BLZ2012,Belize,BLZ,Latin America & Caribbean,Upper middle income,2012,NA,1,0,8.453,0,5.2761,5.2761,862.6667631,240.371694,163.3378563,0.032301759,0,0.009798685,73.044,51,31,45.246,61.62662722,-0.4578074,78.31773,64.4528058,63.8035807,128.2563865,3.812,0.2206,-0.4636,-0.4578074,-0.4193041,0.37374,0.1623743,0.199782,0.0252874,0.0352,0.47470295,1,0,0.49156765,13.7291
54,CMR2012,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2012,1.010638356,1.009,0.009,2.996,9.7378,120.7716,120.7716,14884.45728,7719.798947,3911.869221,0.030873118,0.001261406,0.000201284,56.073,NA,7.5,52.769,53.61596424,-1.041518,51.58778,26.11820061,30.26891355,56.38711416,1.944,0.0871,-1.0328,-1.041518,-0.527785,-0.8514521,-0.3369025,-0.5657742,-0.8794672,0.00095,0.497935768,0.927289125,0.9803515,0.801858798,133.5054
55,PNG2012,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2012,NA,1,0,2.9363,0,91.8769,91.8769,7284.643347,4232.770075,2986.209596,0.030767063,0,0.000403081,62.604,NA,3.5,12.982,58.91396162,-0.8362672,38.66995,NA,NA,NA,0.818,0.187,-0.8519,-0.8362672,-0.6028044,-0.8439628,-0.081025,-1.149947,-0.5359661,0.00475,0.499660454,1,0.95973842,0.819799625,94.8132
56,GNQ2012,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2012,NA,1,0,0.1574,0,5.3077,5.3077,4860.23965,13989.22392,208.8522305,0.025413662,0,3.24E-05,56.288,NA,13.94318219,69,59.12958899,-1.295617,NA,71.90499182,44.77043065,116.6754225,1.282,0.1064,-1.2481,-1.295617,-0.5436293,-1.01603,-0.7949016,-0.6384534,-1.226592,0.00095,0.58671843,1,0.997602596,0.861440342,5.4651
57,NIC2012,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2012,1.011837602,1.01,0.01,0.8796,5.2605,36.5196,36.5196,4974.187595,2400.39237,1548.958179,0.023576879,0.002191517,0.000176833,72.951,176,13.5,57.309,63.02240893,-0.7322436,NA,47.46929361,67.70808971,115.1773833,11.496,0.123,-0.7247,-0.7322436,-0.6296628,-0.0143752,-0.1733026,-0.1229655,-0.5079693,0.0069,0.616588527,0.873674996,0.982849111,0.824370878,42.6597
58,COG2012,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2012,NA,1,0,0.7452,5.3801,11.7731,11.7731,2946.894497,8645.792374,526.2513217,0.02237163,0.00062228,0.000252876,61.423,NA,6.106695024,64.169,55.45671045,-1.143013,52.59282,83.77514731,60.32926753,144.1044148,1.026,0.0615,-1.1078,-1.143013,-0.5146292,-1.050218,-0.4639073,-0.6823256,-1.022466,0.00295,0.636188505,0.964130087,0.975081501,0.858466698,17.8984
59,BRN2012,Brunei Darussalam,BRN,East Asia & Pacific,High income,2012,NA,1,0,0.5953,19.6577,2.1573,2.1573,4663.73304,9581.224789,105.6105611,0.020426934,0.00205169,0.000127645,74.962,31,60.27306504,75.656,71.30522395,0.7930567,106.26483,70.15922363,35.47872117,105.6379448,7.044,0.3416,0.8171,0.7930567,-0.3748793,0.51853,0.6972421,1.157158,0.7972408,0.0157,0.667813503,0.881735004,0.987873547,0.845807352,22.4103
60,LAO2012,Lao PDR,LAO,East Asia & Pacific,Lower middle income,2012,1.003028035,1.007,0.007,0.4826,0,33.2321,33.2321,NA,2859.563224,1663.00538,0.019983158,0,NA,65.267,53,10.74767619,31.264,61.10830425,-0.8516377,49.0311,37.87672835,60.30839808,98.18512643,3.714,0.1528,-0.8194,-0.8516377,-0.632772,-0.8221241,-0.5391703,-0.334611,-0.7832766,0.0072,0.675030268,1,NA,NA,33.7147
61,NAM2012,Namibia,NAM,Sub-Saharan Africa,Upper middle income,2012,0.960550964,1.023,0.022,0.5115,3.4555,18.6311,18.6311,7204.784114,3467.144881,973.6924138,0.019134482,0.000996641,7.10E-05,59.387,NA,12.9414,43.693,58.83538373,0.2528461,NA,43.41161376,60.15507076,103.5666845,1.31,0.3075,0.247,0.2528461,-0.4833029,-0.2280387,0.696881,-0.21891,0.4687638,0.0267,0.688831591,0.9425509,0.993659698,0.875014063,22.5981
62,GIN2012,Guinea,GIN,Sub-Saharan Africa,Low income,2012,NA,1,0,1.4903,0,25.2968,25.2968,3466.614625,2319.078691,1334.764591,0.018952256,0,0.000429901,57.905,NA,3.1,34.255,51.24402098,-1.407584,37.80608,33.1373916,53.53693264,86.67432424,1.282,0.0772,-1.4197,-1.407584,-0.5464254,-1.104785,-0.8143163,-0.8288682,-1.11258,0.00095,0.691794983,1,0.956998822,0.882931268,26.7871
63,MDG2012,Madagascar,MDG,Sub-Saharan Africa,Low income,2012,NA,0.988425,-0.0116425,0.6057,0,53.0502,53.0502,5018.960826,1951.404831,3018.725373,0.017573709,0,0.000120682,64.28,44,2.3,33.227,54.3521052,-0.9061241,38.11174,21.7806921,30.87102198,52.65171408,1.282,0.0779,-0.8949,-0.9061241,-0.622547,-1.077359,-0.4660947,-1.164978,-0.6769606,4.00E-04,0.714213164,1,0.988584801,0.900932655,53.6559
64,EST2012,Estonia,EST,Europe & Central Asia,High income,2012,1.022391677,1.033,0.033,2.0733,17.2841,11.8208,11.8208,12765.41191,5640.388174,681.5774931,0.017343296,0.003064346,0.000162415,76.32682927,25,78.38992593,67.974,66.48656737,1.157107,107.81157,85.56756341,83.9241984,169.4917618,22.762,0.3397,1.1367,1.157107,1.457419,2.311769,1.286692,1.600903,1.214828,0.0036,0.717960182,0.823362756,0.984321875,0.841881605,31.1782
65,TZA2012,Tanzania,TZA,Sub-Saharan Africa,Low income,2012,0.974585414,0.984,-0.016,5.0119,20.4237,146.7232,146.7232,15974.87133,8790.326775,8676.096745,0.016911199,0.002323429,0.000313736,60.47,NA,3.95,29.493,52.60850576,-0.5293741,NA,22.37207068,31.99751733,54.36958801,0.558,0.1039,-0.5514,-0.5293741,-0.4502937,-1.09302,-0.2016638,-1.038325,-0.3351757,0.00095,0.724987022,0.866071229,0.968864798,0.853307683,172.1588
66,LBR2012,Liberia,LBR,Sub-Saharan Africa,Low income,2012,NA,1.038795,0.0380617,0.696,0,15.5772,15.5772,1237.517532,178.0688826,947.7578118,0.016435844,0,0.000562416,60.663,NA,2.6,48.583,53.88406056,-0.8874047,NA,32.91270489,89.25380375,122.1665086,3.044,0.1454,-0.9127,-0.8874047,-0.5279077,-0.8129796,-0.8117859,-0.8346046,-0.6717994,0.0056,0.732717331,1,0.943462732,0.892060021,16.2732
